,tconst,titleType,primaryTitle,isAdult,startYear,endYear,genres,directors,weight_average,cast,director_name
1509,tt0424345,movie,clerksii,0,2006,\n,comedy,nm0003620,7.2501598766197235,"'briano\'halloran', 'jeffanderson', 'rosariodawson', 'jasonmewes'",'kevinsmith'
1510,tt0120587,movie,antz,0,1998,\n,"adventure,animation,comedy","nm0201509,nm0426333",6.784782504324554,"'genehackman', 'woodyallen', 'sylvesterstallone', 'sharonstone'",'ericdarnell'
1511,tt0448694,movie,pussinboots,0,2011,\n,"action,adventure,animation",nm1844237,6.845565553403961,"'antoniobanderas', 'billybobthornton', 'salmahayek', 'zachgalifianakis'",'chrismiller'
1512,tt0876563,movie,ponyo,0,2008,\n,"adventure,animation,comedy",nm0594503,7.466254941051811,"'liamneeson', 'mattdamon', 'cateblanchett', 'tomokoyamaguchi'",'hayaomiyazaki'
1513,tt1567432,tvseries,teenwolf,0,2011,2017,"action,drama,fantasy","nm1406831,nm0356042,nm0028542,nm0852514,nm0908630,nm0199609,nm0877617,nm0312856,nm0000798,nm0929317,nm0611683,nm1488618,nm0692677,nm0400486,nm0528337,nm0995597",7.413175707939493,"'lindenashby', 'tylerhoechlin', 'jrbourne', 'dylansprayberry', 'tylerposey'",''
1514,tt0097814,movie,kiki'sdeliveryservice,0,1989,\n,"adventure,animation,drama",nm0594503,7.518665184764902,"'kappeiyamaguchi', 'kirstendunst', 'minamitakayama', 'reisakuma'",'hayaomiyazaki'
1515,tt0410297,movie,thelakehouse,0,2006,\n,"drama,fantasy,romance",nm0002159,6.9648046590856145,"'christopherplummer', 'keanureeves', 'sandrabullock', 'ebonmoss-bachrach'",'alejandroagresti'
1516,tt0120768,movie,thenegotiator,0,1998,\n,"action,crime,drama",nm0336620,7.250117119622629,"'ronrifkin', 'davidmorse', 'kevinspacey', 'samuell.jackson'",'f.garygray'
1517,tt0097441,movie,glory,0,1989,\n,"biography,drama,history",nm0001880,7.518507917023776,"'morganfreeman', 'denzelwashington', 'matthewbroderick', 'caryelwes'",'edwardzwick'
1518,tt0043274,movie,aliceinwonderland,0,1951,\n,"adventure,animation,family","nm0314671,nm0414144,nm0527217,nm0455741",7.305070867241585,"'sterlingholloway', 'richardhaydn', 'kathrynbeaumont', 'edwynn'",'clydegeronimi'
1519,tt2632424,tvseries,theoriginals,0,2013,2018,"drama,fantasy,horror","nm0312790,nm0368602,nm0780825,nm0194299,nm0220049,nm0052059,nm0126032,nm0795223,nm0124991,nm0604784,nm0027051,nm0343687,nm0021592,nm0362734,nm0733227,nm0404882,nm1168394,nm0191697,nm0402493,nm0877427,nm0319171,nm0236173,nm2179037,nm1234893,nm0791381,nm0833191,nm0508883,nm0675460,nm0192030,nm0385151,nm0342603",7.722031994818871,"'danielgillies', 'leahpipes', 'phoebetonkin', 'claireholt', 'josephmorgan'",''
1520,tt0293564,movie,rushhour3,0,2007,\n,"action,comedy,crime",nm0711840,6.598435317544031,"'maxvonsydow', 'jackiechan', 'hiroyukisanada', 'christucker'",'brettratner'
1521,tt1617661,movie,jupiterascending,0,2015,\n,"action,adventure,sci-fi","nm0905154,nm0905152",5.991903695103314,"'seanbean', 'milakunis', 'eddieredmayne', 'channingtatum'",'lanawachowski'
1522,tt3316960,movie,stillalice,0,2014,\n,drama,"nm0322144,nm0922903",7.359199351204596,"'alecbaldwin', 'juliannemoore', 'katebosworth', 'kristenstewart'",'richardglatzer'
1523,tt0082198,movie,conanthebarbarian,0,1982,\n,"action,adventure,fantasy",nm0587518,7.023591531071175,"'maxvonsydow', 'sandahlbergman', 'jamesearljones', 'arnoldschwarzenegger'",'johnmilius'
1524,tt0472033,movie,9,0,2009,\n,"action,adventure,animation",nm0009942,7.138193047145442,"'christopherplummer', 'jenniferconnelly', 'crispinglover', 'elijahwood'",'shaneacker'
1525,tt0098800,tvseries,thefreshprinceofbelair,0,1990,1996,comedy,"nm0005355,nm0899085,nm0265954,nm0912528,nm5165734,nm0907439,nm0899330,nm0187892,nm0421675,nm0470153,nm0000739,nm0578162,nm0676592",7.5694769733324065,"'daphnereid', 'tatyanaali', 'alfonsoribeiro', 'janethubert', 'willsmith'",'alfonsoribeiro'
1526,tt0079944,movie,stalker,0,1979,\n,"drama,sci-fi",nm0001789,7.720911741917694,"'anatoliysolonitsyn', 'nikolaygrinko', 'alisafreyndlikh', 'aleksandrkaydanovskiy'",'andreitarkovsky'
1527,tt2582496,movie,meandearlandthedyinggirl,0,2015,\n,"comedy,drama",nm0004234,7.465464939523388,"'oliviacooke', 'nickofferman', 'thomasmann', 'rjcyler'",'alfonsogomez-rejon'
1528,tt0093894,movie,therunningman,0,1987,\n,"action,sci-fi,thriller",nm0001274,6.906376212980425,"'jimbrown', 'arnoldschwarzenegger', 'yaphetkotto', 'mariaconchitaalonso'",'paulmichaelglaser'
1529,tt0338564,movie,infernalaffairs,0,2002,\n,"action,crime,drama","nm0538320,nm0490487",7.620184135992356,"'erictsang', 'andylau', 'tonychiu-waileung', 'anthonychau-sangwong'",'alanmak'
1530,tt2267968,movie,kungfupanda3,0,2016,\n,"action,adventure,animation","nm1868917,nm0950775",7.138262711195981,"'dustinhoffman', 'angelinajolie', 'bryancranston', 'jackblack'",'alessandrocarloni'
1531,tt1628033,tvseries,topgear,0,2002,\n,"adventure,comedy,reality-tv","nm1643699,nm1761417,nm1642954,nm2441505,nm0063279,nm0663882,nm4955694,nm0401776,nm1633069,nm0587584,nm1273069,nm2536410,nm1656402,nm2421954,nm0606942,nm1802388,nm1836988,nm1347776,nm2071500,nm0393608,nm1645999,nm2733733,nm2228045,nm2632435,nm2533842,nm2276716,nm1317983,nm0524876,nm1652823,nm1412244,nm1274426,nm1104159,nm1654324,nm0952847,nm1191406,nm3979776,nm1304319,nm0458676",7.961226868984327,"'perrymccarthy', 'bencollins'",''
1532,tt7713068,movie,birdsofpreyandthefantabulousemancipationofoneharleyquinn,0,2020,\n,"action,adventure,crime",nm4014166,6.536131370339671,"'rosieperez', 'jurneesmollett', 'maryelizabethwinstead', 'margotrobbie'",'cathyyan'
1533,tt0309593,movie,finaldestination2,0,2003,\n,"horror,thriller",nm0254786,6.600099364565147,"'tonytodd', 'michaellandes', 'alilarter', 'a.j.cook'",'davidr.ellis'
1534,tt3470600,movie,sing,0,2016,\n,"animation,comedy,family","nm2888554,nm1134029",7.138298618800823,"'reesewitherspoon', 'matthewmcconaughey', 'scarlettjohansson', 'sethmacfarlane'",'christophelourdelet'
1535,tt1100089,movie,foxcatcher,0,2014,\n,"biography,drama,history",nm0587955,7.081524314892107,"'vanessaredgrave', 'markruffalo', 'stevecarell', 'channingtatum'",'bennettmiller'
1536,tt0101272,movie,theaddamsfamily,0,1991,\n,"comedy,fantasy",nm0001756,7.0240453154743525,"'rauljulia', 'christopherlloyd', 'danhedaya', 'anjelicahuston'",'barrysonnenfeld'
1537,tt1220634,movie,residentevilafterlife,0,2010,\n,"action,adventure,horror",nm0027271,6.340755678978526,"'millajovovich', 'kimcoates', 'alilarter', 'wentworthmiller'",'paulw.s.anderson'
1538,tt1174732,movie,aneducation,0,2009,\n,drama,nm0771054,7.249796375811957,"'alfredmolina', 'oliviawilliams', 'petersarsgaard', 'careymulligan'",'lonescherfig'
1539,tt3398228,tvseries,bojackhorseman,0,2014,2020,"animation,comedy,drama","nm2441608,nm3690941,nm5571371,nm0664009,nm1702188,nm0148247,nm1046217,nm2418646,nm2288960,nm0963023,nm2380535,nm5804517,nm6777259,nm6235898,nm4361012,nm3219913",7.959572655148334,"'paulf.tompkins', 'pattonoswalt', 'amysedaris', 'willarnett', 'aaronpaul'",'amywinfrey'
1540,tt0988595,movie,27dresses,0,2008,\n,"comedy,romance",nm0281945,6.537208287014217,"'briankerwin', 'katherineheigl', 'jamesmarsden', 'malinakerman'",'annefletcher'
1541,tt0892782,movie,monstersvsaliens,0,2009,\n,"action,adventure,animation","nm1224299,nm0970447",6.725873484474564,"'reesewitherspoon', 'stephencolbert', 'sethrogen', 'rainnwilson'",'robletterman'
1542,tt0277434,movie,weweresoldiers,0,2002,\n,"action,drama,history",nm0908824,7.194404706447332,"'samelliott', 'melgibson', 'madeleinestowe', 'gregkinnear'",'randallwallace'
1543,tt1496025,movie,underworldawakening,0,2012,\n,"action,fantasy,horror","nm0825407,nm0617523",6.726615492361415,"'stephenrea', 'katebeckinsale', 'michaelealy', 'indiaeisley'",'björnstein'
1544,tt0963966,movie,thesorcerer'sapprentice,0,2010,\n,"action,adventure,family",nm0005509,6.538655346611713,"'nicolascage', 'alfredmolina', 'jaybaruchel', 'teresapalmer'",'jonturteltaub'
1545,tt0307987,movie,badsanta,0,2003,\n,"comedy,crime,drama",nm0959062,7.08188247630038,"'johnritter', 'billybobthornton', 'berniemac', 'laurengraham'",'terryzwigoff'
1546,tt0120784,movie,payback,0,1999,\n,"action,crime,drama",nm0001338,7.138494845683643,"'melgibson', 'gregghenry', 'davidpaymer', 'mariabello'",'brianhelgeland'
1547,tt1019452,movie,aseriousman,0,2009,\n,"comedy,drama","nm0001054,nm0001053",7.081909996736353,"'fredmelamed', 'richardkind', 'michaelstuhlbarg', 'sarilennick'",'joelcoen'
1548,tt0040897,movie,thetreasureofthesierramadre,0,1948,\n,"adventure,drama,western",nm0001379,7.717512540261482,"'walterhuston', 'humphreybogart', 'timholt', 'brucebennett'",'johnhuston'
1549,tt0274558,movie,thehours,0,2002,\n,"drama,romance",nm0197636,7.357886160743381,"'merylstreep', 'nicolekidman', 'juliannemoore', 'stephendillane'",'stephendaldry'
1550,tt0212671,tvseries,malcolminthemiddle,0,2000,2006,"comedy,family","nm0390844,nm0578162,nm0477129,nm0195913,nm0490792,nm0410521,nm0919660,nm0522427,nm0186505,nm0800702,nm0095450,nm0343622,nm0762541,nm0044803,nm0717155,nm0462277,nm0545763,nm0828276,nm0137978,nm0557733",7.617548378564003,"'janekaczmarek', 'bryancranston', 'justinberfield', 'christophermasterson', 'frankiemuniz'",'toddholland'
1551,tt0115798,movie,thecableguy,0,1996,\n,"comedy,drama,thriller",nm0001774,6.539646145751412,"'matthewbroderick', 'jimcarrey', 'jackblack', 'lesliemann'",'benstiller'
1552,tt0012349,movie,thekid,0,1921,\n,"comedy,drama,family",nm0000122,7.7657148940768925,"'charleschaplin', 'ednapurviance', 'albertaustin', 'henrybergman', 'jackiecoogan'",'charleschaplin'
1553,tt2345759,movie,themummy,0,2017,\n,"action,adventure,fantasy",nm0476064,6.071026627346437,"'tomcruise', 'russellcrowe', 'annabellewallis', 'sofiaboutella'",'alexkurtzman'
1554,tt0312004,movie,wallacegromitthecurseofthewererabbit,0,2005,\n,"adventure,animation,comedy","nm0101508,nm0661910",7.303783116289438,"'petersallis', 'helenabonhamcarter', 'ralphfiennes', 'peterkay'",'stevebox'
1555,tt0475394,movie,smokin'aces,0,2006,\n,"action,comedy,crime",nm0138620,6.9087393123579774,"'rayliotta', 'jeremypiven', 'ryanreynolds', 'josephruskin'",'joecarnahan'
1556,tt5813916,movie,themountainii,0,2016,\n,"action,drama,war",nm3809021,8.000212893936682,"'ufukbayraktar', 'ahutürkpençe', 'caglarertugrul', 'muratserezli'",'alpercaglar'
1557,tt0393162,movie,coachcarter,0,2005,\n,"biography,drama,sport",nm0141961,7.249375981230178,"'samuell.jackson', 'robertri\'chard', 'robbrown', 'rickgonzalez'",'thomascarter'
1558,tt4701182,movie,bumblebee,0,2018,\n,"action,adventure,sci-fi",nm1325899,6.967405363871692,"'johncena', 'haileesteinfeld', 'jorgelendeborgjr.', 'jasondrucker'",'travisknight'
1559,tt0093748,movie,"planes,trainsandautomobiles",0,1987,\n,"comedy,drama",nm0000455,7.4103212445872435,"'michaelmckean', 'johncandy', 'stevemartin', 'lailarobins'",'johnhughes'
1560,tt0093822,movie,raisingarizona,0,1987,\n,"comedy,crime","nm0001053,nm0001054",7.249316332607647,"'nicolascage', 'johngoodman', 'hollyhunter', 'treywilson'",'ethancoen'
1561,tt0100403,movie,predator2,0,1990,\n,"action,horror,sci-fi",nm0394280,6.667968906225059,"'garybusey', 'dannyglover', 'rubénblades', 'kevinpeterhall'",'stephenhopkins'
1562,tt0435705,movie,next,0,2007,\n,"action,sci-fi,thriller",nm0848414,6.605606859675813,"'nicolascage', 'juliannemoore', 'thomaskretschmann', 'jessicabiel'",'leetamahori'
1563,tt1815862,movie,afterearth,0,2013,\n,"action,adventure,sci-fi",nm0796117,5.637159466045853,"'willsmith', 'daviddenman', 'sophieokonedo', 'jadensmith'",'m.nightshyamalan'
1564,tt0063350,movie,nightofthelivingdead,0,1968,\n,"horror,thriller",nm0001681,7.564435777407919,"'kyraschon', 'duanejones', 'juditho\'dea', 'karlhardman', 'marilyneastman'",'georgea.romero'
1565,tt1335975,movie,47ronin,0,2013,\n,"action,drama,fantasy",nm0727754,6.668377748423934,"'hiroyukisanada', 'keanureeves', 'tadanobuasano', 'koshibasaki'",'carlrinsch'
1566,tt0364845,tvseries,ncis,0,2003,\n,"action,crime,drama","nm0956910,nm0118778,nm0533713,nm0035106,nm0255028,nm0942869,nm0395317,nm0571739,nm0197700,nm0926215,nm0113054,nm0508883,nm0726975,nm0915762,nm0942875,nm0807932,nm0650304,nm0923571,nm0838198,nm0503598,nm0185734,nm0561879,nm0003497,nm0505420,nm0884218,nm0916025,nm0593576,nm0743164,nm0870306,nm0385151,nm0005522,nm0641343,nm0069074,nm0140969,nm0779641,nm0941276",7.513382126785562,"'davidmccallum', 'markharmon', 'rockycarroll', 'michaelweatherly', 'cotedepablo'",'michaelzinberg'
1567,tt0125664,movie,manonthemoon,0,1999,\n,"biography,comedy,drama",nm0001232,7.303295009154952,"'dannydevito', 'jimcarrey', 'gerrybecker', 'greysonerikpendry'",'milosforman'
1568,tt0046183,movie,peterpan,0,1953,\n,"adventure,animation,family","nm0314671,nm0414144,nm0527217,nm0455741",7.249147493483659,"'bobbydriscoll', 'kathrynbeaumont', 'hansconried', 'billthompson'",'clydegeronimi'
1569,tt0454945,movie,she'stheman,0,2006,\n,"comedy,romance,sport",nm0275698,6.668633922774786,"'amandabynes', 'vinniejones', 'lauraramsey', 'channingtatum'",'andyfickman'
1570,tt0274166,movie,johnnyenglish,0,2003,\n,"action,adventure,comedy",nm0398185,6.6064193039232215,"'rowanatkinson', 'johnmalkovich', 'natalieimbruglia', 'tashadevasconcelos'",'peterhowitt'
1571,tt0093105,movie,"goodmorning,vietnam",0,1987,\n,"biography,comedy,drama",nm0001469,7.249126924554963,"'robinwilliams', 'forestwhitaker', 'tom.t.tran', 'chintarasukapatana'",'barrylevinson'
1572,tt0091369,movie,labyrinth,0,1986,\n,"adventure,family,fantasy",nm0001345,7.303142371008778,"'davidbowie', 'jenniferconnelly', 'tobyfroud', 'shelleythompson'",'jimhenson'
1573,tt0120888,movie,theweddingsinger,0,1998,\n,"comedy,music,romance",nm0178997,6.968404053166503,"'drewbarrymore', 'christinetaylor', 'adamsandler', 'allencovert'",'frankcoraci'
1574,tt4302938,movie,kuboandthetwostrings,0,2016,\n,"action,adventure,animation",nm1325899,7.5128669899731255,"'ralphfiennes', 'matthewmcconaughey', 'charlizetheron', 'artparkinson'",'travisknight'
1575,tt0089881,movie,ran,0,1985,\n,"action,drama,war",nm0000041,7.712635284890647,"'tatsuyanakadai', 'jinpachinezu', 'akiraterao', 'daisukeryû'",'akirakurosawa'
1576,tt0079116,movie,escapefromalcatraz,0,1979,\n,"action,biography,crime",nm0796923,7.4091385615050855,"'patrickmcgoohan', 'clinteastwood', 'robertsblossom', 'jackthibeau'",'donsiegel'
1577,tt0379725,movie,capote,0,2005,\n,"biography,crime,drama",nm0587955,7.249026299998107,"'cliftoncollinsjr.', 'catherinekeener', 'philipseymourhoffman', 'alliemickelson'",'bennettmiller'
1578,tt2628232,tvseries,pennydreadful,0,2014,2016,"drama,fantasy,horror","nm1291105,nm0909608,nm2161247,nm0804556,nm0369949,nm2270017,nm1089736,nm0317328,nm1047532",7.7123017493801465,"'timothydalton', 'joshhartnett', 'reevecarney', 'evagreen', 'dannysapani'",'j.a.bayona'
1579,tt0430105,movie,fourbrothers,0,2005,\n,"action,crime,drama",nm0005436,6.968622365623277,"'markwahlberg', 'tyresegibson', 'garretthedlund', 'andré3000'",'johnsingleton'
