,nconst,primaryName,knownForTitles
119,nm0002369,john williams,"tt0048728,tt0046912,tt0051201,tt0047437"
120,nm0604702,harry morgan,"tt0044706,tt0068098,tt0036244,tt0053946"
121,nm0357891,guy hamilton,"tt0070328,tt0058150,tt0071807,tt0066995"
122,nm0000493,jack lemmon,"tt0107050,tt0104348,tt0053291,tt0053604"
123,nm0496866,bernard lee,"tt0055928,tt0070328,tt0066995,tt0071807"
124,nm0167041,rosemary clooney,"tt0047673,tt0108757,tt0119668,tt1053424"
125,nm0852076,buck taylor,"tt2582782,tt0108358,tt0107007,tt0409847"
126,nm0000511,shirley maclaine,"tt0053604,tt0086425,tt0098384,tt0048750"
127,nm0156928,minoru chiaki,"tt0047478,tt0042876,tt0051808,tt0050613"
128,nm0000308,ernest borgnine,"tt0119177,tt0048356,tt0082340,tt0069113"
129,nm0498007,peggy lee,"tt0124298,tt0360717,tt1321870,tt0048280"
130,nm0788170,ravi shankar,"tt0838221,tt0313792,tt0102492,tt0083987"
131,nm0587256,vera miles,"tt0051207,tt0056217,tt0049730,tt0054215"
132,nm0000989,yul brynner,"tt0054047,tt0049833,tt0049408,tt0070909"
133,nm0007232,jack gwillim,"tt0057197,tt0066206,tt0056172,tt0082186"
134,nm0000489,christopher lee,"tt0120737,tt0070917,tt0121765,tt0167261"
135,nm0004462,jean-louis trintignant,"tt0111495,tt0065571,tt0065234,tt1602620"
136,nm0000558,leslie nielsen,"tt0102510,tt0080339,tt0095705,tt0049223"
137,nm0028222,dimitri andreas,"tt0473075,tt0375912,tt3079380,tt0088286"
138,nm0002994,kevin mccarthy,"tt0077745,tt0049366,tt0098546,tt0093260"
139,nm0001812,lee van cleef,"tt0059578,tt0082340,tt0056217,tt0060196"
140,nm0364805,james b. harris,"tt0387877,tt0056193,tt0049406,tt0050825"
141,nm0072578,martin benson,"tt0058150,tt0049408,tt0075005,tt0074896"
142,nm0000056,paul newman,"tt0257044,tt0084855,tt0061512,tt0054997"
143,nm0001792,rod taylor,"tt0055254,tt0361748,tt0054387,tt0056869"
144,nm0275835,john fiedler,"tt0065126,tt0076363,tt0063374,tt0050083"
145,nm0001486,sidney lumet,"tt0050083,tt0072890,tt0292963,tt0071877"
146,nm0912001,jack warden,"tt0050083,tt0109348,tt0114924,tt0078718"
147,nm0001587,alan j. pakula,"tt0084707,tt0100404,tt0074119,tt0056592"
